Location,Region,Age,ID
Mirs Bay,East HK,Modern,Chek Chau
Mirs Bay,East HK,Modern,Chek Chau2
Mirs Bay,East HK,Modern,HHW Coral Beach
Mirs Bay,East HK,Modern,HHW Coral Beach2
Mirs Bay,East HK,Modern,HHW Moon Island
Mirs Bay,East HK,Modern,HHW Moon Island2
Mirs Bay,East HK,Modern,HHW Pier Area
Mirs Bay,East HK,Modern,HHW Pier Area2
Mirs Bay,East HK,Modern,Wong Wan Chau
Mirs Bay,East HK,Modern,Wong Wan Chau2
Mirs Bay,East HK,Modern,Tung Ping Chau
Mirs Bay,East HK,Modern,Tung Ping Chau2
Mirs Bay,East HK,Modern,Kat O
Mirs Bay,East HK,Modern,Kat O (B)
Mirs Bay,East HK,Modern,Kat O (B)2
Mirs Bay,East HK,Modern,Kat O2
Mirs Bay,East HK,Modern,Kat O3
Mirs Bay,East HK,Modern,Lai Chi Wo
Mirs Bay,East HK,Modern,Lai Chi Wo2
Mirs Bay,East HK,Modern,Ngau Si Wu Wan
Mirs Bay,East HK,Modern,Ngau Si Wu Wan2
Mirs Bay,East HK,Modern,Wong Chuk Kok Tsui
Mirs Bay,East HK,Modern,Wong Chuk Kok Tsui2
Mirs Bay,East HK,Modern,Crescent Island
Mirs Bay,East HK,Modern,Crescent Island Wu Pai
Mirs Bay,East HK,Modern,Crescent Island Wu Pai2
Mirs Bay,East HK,Modern,Crescent Island2
Port Shelter,East HK,Modern,Nine Pins
Port Shelter,East HK,Modern,Nine Pins2
Port Shelter,East HK,Modern,Shelter Island
Port Shelter,East HK,Modern,Shelter Island2
Port Shelter,East HK,Modern,Basalt Island
Port Shelter,East HK,Modern,Basalt Island2
Port Shelter,East HK,Modern,Pak A
Port Shelter,East HK,Modern,Tai She Wan (new)
Port Shelter,East HK,Modern,Tai She Wan (new)2
Port Shelter,East HK,Modern,Tai She Wan (old)
Port Shelter,East HK,Modern,Tai She Wan (old)2
Port Shelter,East HK,Modern,Bak Lap Tsai
Port Shelter,East HK,Modern,Bak Lap Tsai2
Port Shelter,East HK,Modern,East Dam
Port Shelter,East HK,Modern,East Dam2
Port Shelter,East HK,Modern,Fo Tau Fan
Port Shelter,East HK,Modern,Fo Tau Fan2
Port Shelter,East HK,Modern,Fo Tau Fan3
Port Shelter,East HK,Modern,Long Ke Wan
Port Shelter,East HK,Modern,Long Ke Wan2
Port Shelter,East HK,Modern,Lo Fu Ngam
Port Shelter,East HK,Modern,Lo Fu Ngam2
Port Shelter,East HK,Modern,Sharp Island
Port Shelter,East HK,Modern,Sharp Island (East)
Port Shelter,East HK,Modern,Sharp Island (East)2
Port Shelter,East HK,Modern,Sharp Island2
SHK,South HK,Modern,Cheung Chau
SHK,South HK,Modern,Cheung Chau2
SHK,South HK,Modern,Hei Ling Chau
SHK,South HK,Modern,Hei Ling Chau2
SHK,South HK,Modern,Sunshine Island
SHK,South HK,Modern,Sunshine Island2
SHK,South HK,Modern,Ping Chau
SHK,South HK,Modern,Ping Chau2
SHK,South HK,Modern,Sham Wan
SHK,South HK,Modern,Sham Wan2
SHK,South HK,Modern,Waglan Island
SHK,South HK,Modern,Waglan Island2
SHK,South HK,Modern,Cape D'Aguilar
SHK,South HK,Modern,Cape D'Aguilar2
SHK,South HK,Modern,Wong Ma Kok
SHK,South HK,Modern,Wong Ma Kok2
"Mirs Bay, Historical","East HK, sub-fossil",Past,20160824-A-KLT
"Mirs Bay, Historical","East HK, sub-fossil",Past,20160824-B-KLT
"Mirs Bay, Historical","East HK, sub-fossil",Past,20160824-C-KLT
"Mirs Bay, Historical","East HK, sub-fossil",Past,20160825-A-MC
"Mirs Bay, Historical","East HK, sub-fossil",Past,20160825-B-MC
"Mirs Bay, Historical","East HK, sub-fossil",Past,20160825-C-MC
"Mirs Bay, Historical","East HK, sub-fossil",Past,20160826-A-HHWP
"Mirs Bay, Historical","East HK, sub-fossil",Past,20160826-B-HHWP
"Mirs Bay, Historical","East HK, sub-fossil",Past,20160826-C-HHWP
"Mirs Bay, Historical","East HK, sub-fossil",Past,20161129_S1_CR
"Mirs Bay, Historical","East HK, sub-fossil",Past,20161129_S2_CT
"Port Shelter, Historical","East HK, sub-fossil",Past,20151008-X-SW
"Port Shelter, Historical","East HK, sub-fossil",Past,20160714-A-BLU
"Port Shelter, Historical","East HK, sub-fossil",Past,20160714-A-SIB
"Port Shelter, Historical","East HK, sub-fossil",Past,20160714-B-BLU
"Port Shelter, Historical","East HK, sub-fossil",Past,20160714-B-SIB
"Port Shelter, Historical","East HK, sub-fossil",Past,20160714-C-BLU
"Port Shelter, Historical","East HK, sub-fossil",Past,BI
"SHK, Historical","South HK, sub-fossil",Past,20160811-A-NSAC
"SHK, Historical","South HK, sub-fossil",Past,20160811-B-NSAC
"SHK, Historical","South HK, sub-fossil",Past,20160811-C-NSAC
"SHK, Historical","South HK, sub-fossil",Past,20160815-A-PCN
"SHK, Historical","South HK, sub-fossil",Past,20160815-A-TWT
"SHK, Historical","South HK, sub-fossil",Past,20160815-B-PCN
"SHK, Historical","South HK, sub-fossil",Past,20160815-C-PCN
"SHK, Historical","South HK, sub-fossil",Past,20160908-A-SW
"SHK, Historical","South HK, sub-fossil",Past,20160908-B-SW
"SHK, Historical","South HK, sub-fossil",Past,20160908-C-SW
"SHK, Historical","South HK, sub-fossil",Past,20161201_S9_SW
